"Year","Crop","Area"
1962,"Cassava",265
1962,"Castor oil seed",469
1962,"Cauliflowers and broccoli",40
1962,"Cherries",1.2
1962,"Chick peas",9566
1962,"Chillies and peppers, dry",637
1962,"Chillies and peppers, green",2.87
1962,"Cocoa, beans",NA
1962,"Coconuts",793
1962,"Coffee, green",115
1962,"Cucumbers and gherkins",5.9
1962,"Eggplants (aubergines)",156
1962,"Figs",0.9
1962,"Fruit, citrus nes",2.5
1962,"Fruit, fresh nes",135
1962,"Fruit, stone nes",NA
1962,"Fruit, tropical fresh nes",235
1962,"Garlic",38
1962,"Ginger",21
1962,"Grapefruit (inc. pomelos)",1.5
1962,"Grapes",4.6
1962,"Groundnuts",7283
1962,"Jute",847
1962,"Lemons and limes",47
1962,"Lentils",770.915
1962,"Lettuce and chicory",58
1962,"Linseed",1977
1962,"Maize",4643
1962,"Mangoes, mangosteens, guavas",850
1962,"Melons, other (inc.cantaloupes)",9.8
1962,"Millet",18218
1962,"Nutmeg, mace and cardamoms",56
1962,"Oilseeds nes",480
1962,"Okra",158
1962,"Onions, dry",120
1962,"Oranges",54
1962,"Papayas",7
1962,"Peaches and nectarines",9
1962,"Pears",6.2
1962,"Peas, dry",1258.15
1962,"Peas, green",62
1962,"Pepper (piper spp.)",102
1962,"Pigeon peas",2447
1962,"Pineapples",9.2
1962,"Plums and sloes",3.2
1962,"Potatoes",365
1962,"Pulses, nes",3220
1962,"Pumpkins, squash and gourds",133
1962,"Rapeseed",3168
1962,"Rice",35695.008
1962,"Rubber, natural",52
1962,"Safflower seed",445
1962,"Seed cotton",7845
1962,"Sesame seed",2552
1962,"Sorghum",18414
1962,"Soybeans",11
1962,"Spices, nes",230
1962,"Sugar cane",2456
1962,"Sweet potatoes",138
1962,"Tea",332.524
1962,"Tobacco, unmanufactured",418
1962,"Tomatoes",52
1962,"Vegetables, fresh nes",2105
1962,"Walnuts, with shell",14
1962,"Watermelons",6.8
1962,"Wheat",13570
1963,"Anise, badian, fennel, coriander",100
1963,"Apples",33.7
1963,"Apricots",2.8
1963,"Areca nuts",135
1963,"Bananas",193
1963,"Barley",3019
1963,"Bastfibres, other",685
1963,"Beans, dry",7040
1963,"Beans, green",83
1963,"Berries nes",NA
1963,"Cabbages and other brassicas",23
1963,"Carrots and turnips",9
1963,"Cashew nuts, with shell",215
1963,"Cassava",247
1963,"Castor oil seed",484
1963,"Cauliflowers and broccoli",40
1963,"Cherries",1.25
1963,"Chick peas",9193
1963,"Chillies and peppers, dry",748
1963,"Chillies and peppers, green",2.89
1963,"Cocoa, beans",NA
1963,"Coconuts",798
1963,"Coffee, green",118
1963,"Cucumbers and gherkins",6.3
1963,"Eggplants (aubergines)",162
1963,"Figs",0.9
1963,"Fruit, citrus nes",2.5
1963,"Fruit, fresh nes",145
1963,"Fruit, stone nes",NA
1963,"Fruit, tropical fresh nes",235
1963,"Garlic",40
1963,"Ginger",23
1963,"Grapefruit (inc. pomelos)",1.5
1963,"Grapes",5
1963,"Groundnuts",6886
1963,"Jute",869
1963,"Lemons and limes",47
1963,"Lentils",767.273
1963,"Lettuce and chicory",59
1963,"Linseed",1904
1963,"Maize",4582
1963,"Mangoes, mangosteens, guavas",850
1963,"Melons, other (inc.cantaloupes)",10
1963,"Millet",18195.008
1963,"Nutmeg, mace and cardamoms",57
1963,"Oilseeds nes",483
1963,"Okra",165
1963,"Onions, dry",120
1963,"Oranges",55
1963,"Papayas",7
1963,"Peaches and nectarines",10.8
1963,"Pears",6.7
1963,"Peas, dry",1325.327
1963,"Peas, green",64
1963,"Pepper (piper spp.)",102
1963,"Pigeon peas",2452
1963,"Pineapples",13.8
1963,"Plums and sloes",2.7
1963,"Potatoes",413
1963,"Pulses, nes",3439
1963,"Pumpkins, squash and gourds",140
1963,"Rapeseed",3127
1963,"Rice",35809.008
1963,"Rubber, natural",60
1963,"Safflower seed",450
1963,"Seed cotton",8160
1963,"Sesame seed",2412
1963,"Sorghum",18376
1963,"Soybeans",18
1963,"Spices, nes",240
1963,"Sugar cane",2242
1963,"Sweet potatoes",133
1963,"Tea",334.036
